phi_i theta_i phi_o theta_o brdf
5.0 -180.0 -90.0 0.0 0.005538
5.0 -180.0 -77.0 0.0 0.005538
5.0 -180.0 -76.0 0.0 0.005617
5.0 -180.0 -75.0 0.0 0.005767
5.0 -180.0 -74.0 0.0 0.005973
5.0 -180.0 -73.0 0.0 0.006064
5.0 -180.0 -72.0 0.0 0.006234
5.0 -180.0 -71.0 0.0 0.00632
5.0 -180.0 -70.0 0.0 0.00652
5.0 -180.0 -69.0 0.0 0.0067
5.0 -180.0 -68.0 0.0 0.006797
5.0 -180.0 -67.0 0.0 0.006799
5.0 -180.0 -66.0 0.0 0.006876
5.0 -180.0 -65.0 0.0 0.00695
5.0 -180.0 -64.0 0.0 0.007092
5.0 -180.0 -63.0 0.0 0.007013
5.0 -180.0 -62.0 0.0 0.007254
5.0 -180.0 -61.0 0.0 0.007321
5.0 -180.0 -60.0 0.0 0.007438
5.0 -180.0 -59.0 0.0 0.007585
5.0 -180.0 -58.0 0.0 0.007637
5.0 -180.0 -57.0 0.0 0.007756
5.0 -180.0 -56.0 0.0 0.007925
5.0 -180.0 -55.0 0.0 0.007968
5.0 -180.0 -54.0 0.0 0.008061
5.0 -180.0 -53.0 0.0 0.008019
5.0 -180.0 -52.0 0.0 0.008168
5.0 -180.0 -51.0 0.0 0.008152
5.0 -180.0 -50.0 0.0 0.008109
5.0 -180.0 -49.0 0.0 0.008134
5.0 -180.0 -48.0 0.0 0.008718
5.0 -180.0 -47.0 0.0 0.008264
5.0 -180.0 -46.0 0.0 0.008689
5.0 -180.0 -45.0 0.0 0.008604
5.0 -180.0 -44.0 0.0 0.008973
5.0 -180.0 -43.0 0.0 0.009248
5.0 -180.0 -42.0 0.0 0.009332
5.0 -180.0 -41.0 0.0 0.009704
5.0 -180.0 -40.0 0.0 0.009571
5.0 -180.0 -39.0 0.0 0.0101
5.0 -180.0 -38.0 0.0 0.0102
5.0 -180.0 -37.0 0.0 0.01098
5.0 -180.0 -36.0 0.0 0.01083
5.0 -180.0 -35.0 0.0 0.0115
5.0 -180.0 -34.0 0.0 0.01157
5.0 -180.0 -33.0 0.0 0.01184
5.0 -180.0 -32.0 0.0 0.01203
5.0 -180.0 -31.0 0.0 0.01299
5.0 -180.0 -30.0 0.0 0.0137
5.0 -180.0 -29.0 0.0 0.01422
5.0 -180.0 -28.0 0.0 0.01503
5.0 -180.0 -27.0 0.0 0.01518
5.0 -180.0 -26.0 0.0 0.01616
5.0 -180.0 -25.0 0.0 0.01755
5.0 -180.0 -24.0 0.0 0.01792
5.0 -180.0 -23.0 0.0 0.01973
5.0 -180.0 -22.0 0.0 0.02067
5.0 -180.0 -21.0 0.0 0.02209
5.0 -180.0 -20.0 0.0 0.02345
5.0 -180.0 -19.0 0.0 0.02537
5.0 -180.0 -18.0 0.0 0.02731
5.0 -180.0 -17.0 0.0 0.02905
5.0 -180.0 -16.0 0.0 0.03206
5.0 -180.0 -15.0 0.0 0.03508
5.0 -180.0 -14.0 0.0 0.039
5.0 -180.0 -13.0 0.0 0.04157
5.0 -180.0 -12.0 0.0 0.04743
5.0 -180.0 -11.0 0.0 0.05111
5.0 -180.0 -10.0 0.0 0.05823
5.0 -180.0 -9.0 0.0 0.06379
5.0 -180.0 -1.0 0.0 0.1732
5.0 -180.0 0.0 0.0 0.1927
5.0 -180.0 1.0 0.0 0.2163
5.0 -180.0 2.0 0.0 0.2487
5.0 -180.0 3.0 0.0 0.2735
5.0 -180.0 4.0 0.0 0.2926
5.0 -180.0 5.0 0.0 0.3146
5.0 -180.0 6.0 0.0 0.3437
5.0 -180.0 7.0 0.0 0.3742
5.0 -180.0 8.0 0.0 0.404
5.0 -180.0 9.0 0.0 0.4379
5.0 -180.0 10.0 0.0 0.4481
5.0 -180.0 11.0 0.0 0.44
5.0 -180.0 12.0 0.0 0.406
5.0 -180.0 13.0 0.0 0.4062
5.0 -180.0 14.0 0.0 0.3831
5.0 -180.0 15.0 0.0 0.3586
5.0 -180.0 16.0 0.0 0.316
5.0 -180.0 17.0 0.0 0.2831
5.0 -180.0 18.0 0.0 0.2528
5.0 -180.0 19.0 0.0 0.2216
5.0 -180.0 20.0 0.0 0.197
5.0 -180.0 21.0 0.0 0.1717
5.0 -180.0 22.0 0.0 0.1469
5.0 -180.0 23.0 0.0 0.1292
5.0 -180.0 24.0 0.0 0.116
5.0 -180.0 25.0 0.0 0.09833
5.0 -180.0 26.0 0.0 0.08871
5.0 -180.0 27.0 0.0 0.07983
5.0 -180.0 28.0 0.0 0.07061
5.0 -180.0 29.0 0.0 0.06366
5.0 -180.0 30.0 0.0 0.0566
5.0 -180.0 31.0 0.0 0.05127
5.0 -180.0 32.0 0.0 0.04613
5.0 -180.0 33.0 0.0 0.04122
5.0 -180.0 34.0 0.0 0.03905
5.0 -180.0 35.0 0.0 0.03541
5.0 -180.0 36.0 0.0 0.03315
5.0 -180.0 37.0 0.0 0.03163
5.0 -180.0 38.0 0.0 0.02989
5.0 -180.0 39.0 0.0 0.02758
5.0 -180.0 40.0 0.0 0.02637
5.0 -180.0 41.0 0.0 0.02509
5.0 -180.0 42.0 0.0 0.02349
5.0 -180.0 43.0 0.0 0.02345
5.0 -180.0 44.0 0.0 0.02194
5.0 -180.0 45.0 0.0 0.02059
5.0 -180.0 46.0 0.0 0.02034
5.0 -180.0 47.0 0.0 0.01917
5.0 -180.0 48.0 0.0 0.01918
5.0 -180.0 49.0 0.0 0.01872
5.0 -180.0 50.0 0.0 0.01756
5.0 -180.0 51.0 0.0 0.01685
