#phi_i theta_i phi_o theta_o brdf
5.0 -180.0 -90.0 0.0 0.009001907
5.0 -180.0 -77.0 0.0 0.009001907
5.0 -180.0 -76.0 0.0 0.01012715
5.0 -180.0 -75.0 0.0 0.01125238
5.0 -180.0 -74.0 0.0 0.01237762
5.0 -180.0 -73.0 0.0 0.01350286
5.0 -180.0 -72.0 0.0 0.0146281
5.0 -180.0 -71.0 0.0 0.01575334
5.0 -180.0 -70.0 0.0 0.01687858
5.0 -180.0 -69.0 0.0 0.01684318
5.0 -180.0 -68.0 0.0 0.0167981
5.0 -180.0 -67.0 0.0 0.01669148
5.0 -180.0 -66.0 0.0 0.01662214
5.0 -180.0 -65.0 0.0 0.0166062
5.0 -180.0 -64.0 0.0 0.01659357
5.0 -180.0 -63.0 0.0 0.01660143
5.0 -180.0 -62.0 0.0 0.01636451
5.0 -180.0 -61.0 0.0 0.01654881
5.0 -180.0 -60.0 0.0 0.0160697
5.0 -180.0 -59.0 0.0 0.01619923
5.0 -180.0 -58.0 0.0 0.01614357
5.0 -180.0 -57.0 0.0 0.01621835
5.0 -180.0 -56.0 0.0 0.01639691
5.0 -180.0 -55.0 0.0 0.01657713
5.0 -180.0 -54.0 0.0 0.01664484
5.0 -180.0 -53.0 0.0 0.01669081
5.0 -180.0 -52.0 0.0 0.0167965
5.0 -180.0 -51.0 0.0 0.01667647
5.0 -180.0 -50.0 0.0 0.01662968
5.0 -180.0 -49.0 0.0 0.01640643
5.0 -180.0 -48.0 0.0 0.0164415
5.0 -180.0 -47.0 0.0 0.01661811
5.0 -180.0 -46.0 0.0 0.01645838
5.0 -180.0 -45.0 0.0 0.0164037
5.0 -180.0 -44.0 0.0 0.01665537
5.0 -180.0 -43.0 0.0 0.01665175
5.0 -180.0 -42.0 0.0 0.01657816
5.0 -180.0 -41.0 0.0 0.01651403
5.0 -180.0 -40.0 0.0 0.01642064
5.0 -180.0 -39.0 0.0 0.01633019
5.0 -180.0 -38.0 0.0 0.01639251
5.0 -180.0 -37.0 0.0 0.01668367
5.0 -180.0 -36.0 0.0 0.01679227
5.0 -180.0 -35.0 0.0 0.01669575
5.0 -180.0 -34.0 0.0 0.01674583
5.0 -180.0 -33.0 0.0 0.01676178
5.0 -180.0 -32.0 0.0 0.016845
5.0 -180.0 -31.0 0.0 0.01692469
5.0 -180.0 -30.0 0.0 0.01677622
5.0 -180.0 -29.0 0.0 0.01674031
5.0 -180.0 -28.0 0.0 0.01682203
5.0 -180.0 -27.0 0.0 0.01675828
5.0 -180.0 -26.0 0.0 0.01682488
5.0 -180.0 -25.0 0.0 0.01683727
5.0 -180.0 -24.0 0.0 0.01654034
5.0 -180.0 -23.0 0.0 0.01640399
5.0 -180.0 -22.0 0.0 0.01628433
5.0 -180.0 -21.0 0.0 0.01635296
5.0 -180.0 -20.0 0.0 0.01651189
5.0 -180.0 -19.0 0.0 0.01679763
5.0 -180.0 -18.0 0.0 0.01687717
5.0 -180.0 -17.0 0.0 0.01678315
5.0 -180.0 -16.0 0.0 0.01692559
5.0 -180.0 -15.0 0.0 0.01698874
5.0 -180.0 -14.0 0.0 0.01708052
5.0 -180.0 -13.0 0.0 0.01701713
5.0 -180.0 -12.0 0.0 0.01712776
5.0 -180.0 -11.0 0.0 0.01719414
5.0 -180.0 -10.0 0.0 0.01710628
5.0 -180.0 -9.0 0.0 0.01728057
5.0 -180.0 -8.0 0.0 0.01734806
5.0 -180.0 -7.0 0.0 0.01742038
5.0 -180.0 -6.0 0.0 0.01746312
5.0 -180.0 -5.0 0.0 0.01734025
5.0 -180.0 -4.0 0.0 0.01741339
5.0 -180.0 -3.0 0.0 0.01739881
5.0 -180.0 -2.0 0.0 0.01754771
5.0 -180.0 -1.0 0.0 0.01797356
5.0 -180.0 0.0 0.0 0.01870113
5.0 -180.0 8.0 0.0 0.01948975
5.0 -180.0 9.0 0.0 0.01365546
5.0 -180.0 10.0 0.0 0.01603872
5.0 -180.0 11.0 0.0 0.01715062
5.0 -180.0 12.0 0.0 0.01724918
5.0 -180.0 13.0 0.0 0.01779622
5.0 -180.0 14.0 0.0 0.01770262
5.0 -180.0 15.0 0.0 0.0171415
5.0 -180.0 16.0 0.0 0.01738433
5.0 -180.0 17.0 0.0 0.01748806
5.0 -180.0 18.0 0.0 0.01744834
5.0 -180.0 19.0 0.0 0.0175642
5.0 -180.0 20.0 0.0 0.01758902
5.0 -180.0 21.0 0.0 0.0174163
5.0 -180.0 22.0 0.0 0.01734353
5.0 -180.0 23.0 0.0 0.017154
5.0 -180.0 24.0 0.0 0.01719972
5.0 -180.0 25.0 0.0 0.01723578
5.0 -180.0 26.0 0.0 0.0172591
5.0 -180.0 27.0 0.0 0.01713735
5.0 -180.0 28.0 0.0 0.01711856
5.0 -180.0 29.0 0.0 0.01701273
5.0 -180.0 30.0 0.0 0.01710946
5.0 -180.0 31.0 0.0 0.0171375
5.0 -180.0 32.0 0.0 0.01705275
5.0 -180.0 33.0 0.0 0.01702826
5.0 -180.0 34.0 0.0 0.01700296
5.0 -180.0 35.0 0.0 0.01709713
5.0 -180.0 36.0 0.0 0.01715848
5.0 -180.0 37.0 0.0 0.01717963
5.0 -180.0 38.0 0.0 0.01715125
5.0 -180.0 39.0 0.0 0.01703386
5.0 -180.0 40.0 0.0 0.01710076
5.0 -180.0 41.0 0.0 0.01725635
5.0 -180.0 42.0 0.0 0.0173596
5.0 -180.0 43.0 0.0 0.0174345
5.0 -180.0 44.0 0.0 0.01728949
5.0 -180.0 45.0 0.0 0.01713005
5.0 -180.0 46.0 0.0 0.01707813
5.0 -180.0 47.0 0.0 0.01712063
5.0 -180.0 48.0 0.0 0.01709276
5.0 -180.0 49.0 0.0 0.01695624
5.0 -180.0 50.0 0.0 0.0167889
5.0 -180.0 51.0 0.0 0.01676931
5.0 -180.0 52.0 0.0 0.01686083
5.0 -180.0 53.0 0.0 0.01697931
5.0 -180.0 54.0 0.0 0.01719993
5.0 -180.0 55.0 0.0 0.01722871
5.0 -180.0 56.0 0.0 0.01712055
5.0 -180.0 57.0 0.0 0.01701744
5.0 -180.0 58.0 0.0 0.01701569
5.0 -180.0 59.0 0.0 0.01710741
5.0 -180.0 60.0 0.0 0.01698127
5.0 -180.0 61.0 0.0 0.01698398
5.0 -180.0 62.0 0.0 0.01704007
5.0 -180.0 63.0 0.0 0.01705904
5.0 -180.0 64.0 0.0 0.01681222
5.0 -180.0 65.0 0.0 0.01658611
5.0 -180.0 66.0 0.0 0.01643054
5.0 -180.0 67.0 0.0 0.01651565
5.0 -180.0 68.0 0.0 0.01652154
5.0 -180.0 69.0 0.0 0.01643095
5.0 -180.0 70.0 0.0 0.01645124
5.0 -180.0 71.0 0.0 0.01628231
5.0 -180.0 72.0 0.0 0.01637322
5.0 -180.0 73.0 0.0 0.01652765
5.0 -180.0 74.0 0.0 0.01664283
5.0 -180.0 75.0 0.0 0.01674089
5.0 -180.0 76.0 0.0 0.01694843
5.0 -180.0 77.0 0.0 0.01704116
5.0 -180.0 78.0 0.0 0.0170807
5.0 -180.0 79.0 0.0 0.0171175
5.0 -180.0 80.0 0.0 0.01710208
5.0 -180.0 81.0 0.0 0.01596194
5.0 -180.0 90.0 0.0 0.01596194
41.4 -180.0 -90.0 0.0 0.01500535
41.4 -180.0 -65.0 0.0 0.01500535
41.4 -180.0 -64.0 0.0 0.01513455
41.4 -180.0 -63.0 0.0 0.0152395
41.4 -180.0 -62.0 0.0 0.01532371
41.4 -180.0 -61.0 0.0 0.01534396
41.4 -180.0 -60.0 0.0 0.01531504
41.4 -180.0 -59.0 0.0 0.01528605
41.4 -180.0 -58.0 0.0 0.01526758
41.4 -180.0 -57.0 0.0 0.01522733
41.4 -180.0 -56.0 0.0 0.01509377
41.4 -180.0 -55.0 0.0 0.01504695
41.4 -180.0 -54.0 0.0 0.0150865
41.4 -180.0 -53.0 0.0 0.01501516
41.4 -180.0 -52.0 0.0 0.01508465
41.4 -180.0 -51.0 0.0 0.01526072
41.4 -180.0 -50.0 0.0 0.01516637
41.4 -180.0 -49.0 0.0 0.01518838
41.4 -180.0 -48.0 0.0 0.01535438
41.4 -180.0 -47.0 0.0 0.01546974
41.4 -180.0 -46.0 0.0 0.01548032
41.4 -180.0 -45.0 0.0 0.01541652
41.4 -180.0 -44.0 0.0 0.01543583
41.4 -180.0 -43.0 0.0 0.01543554
41.4 -180.0 -42.0 0.0 0.01526667
41.4 -180.0 -41.0 0.0 0.01497377
41.4 -180.0 -40.0 0.0 0.01470703
41.4 -180.0 -39.0 0.0 0.01454119
41.4 -180.0 -38.0 0.0 0.01453142
41.4 -180.0 -37.0 0.0 0.01459781
41.4 -180.0 -36.0 0.0 0.01472489
41.4 -180.0 -35.0 0.0 0.01491124
41.4 -180.0 -34.0 0.0 0.01508142
41.4 -180.0 -33.0 0.0 0.0152713
41.4 -180.0 -32.0 0.0 0.01554503
41.4 -180.0 -31.0 0.0 0.01584612
41.4 -180.0 -30.0 0.0 0.01601253
41.4 -180.0 -29.0 0.0 0.01606484
41.4 -180.0 -28.0 0.0 0.01618313
41.4 -180.0 -27.0 0.0 0.01633797
41.4 -180.0 -26.0 0.0 0.01640354
41.4 -180.0 -25.0 0.0 0.01641067
41.4 -180.0 -24.0 0.0 0.01647645
41.4 -180.0 -23.0 0.0 0.0165649
41.4 -180.0 -22.0 0.0 0.01663604
41.4 -180.0 -21.0 0.0 0.01658586
