phi_i theta_i phi_o theta_o brdf
5.0 -180.0 -88.0 0.0 0.00377
5.0 -180.0 -87.0 0.0 0.005352
5.0 -180.0 -86.0 0.0 0.006505
5.0 -180.0 -85.0 0.0 0.007381
5.0 -180.0 -84.0 0.0 0.007607
5.0 -180.0 -83.0 0.0 0.008344
5.0 -180.0 -82.0 0.0 0.008432
5.0 -180.0 -81.0 0.0 0.008697
5.0 -180.0 -80.0 0.0 0.008546
5.0 -180.0 -79.0 0.0 0.008737
5.0 -180.0 -78.0 0.0 0.01103
5.0 -180.0 -77.0 0.0 0.008887
5.0 -180.0 -76.0 0.0 0.009213
5.0 -180.0 -75.0 0.0 0.009241
5.0 -180.0 -74.0 0.0 0.00936
5.0 -180.0 -73.0 0.0 0.009584
5.0 -180.0 -72.0 0.0 0.009533
5.0 -180.0 -71.0 0.0 0.009432
5.0 -180.0 -70.0 0.0 0.009778
5.0 -180.0 -69.0 0.0 0.009884
5.0 -180.0 -68.0 0.0 0.009813
5.0 -180.0 -67.0 0.0 0.00983
5.0 -180.0 -66.0 0.0 0.009892
5.0 -180.0 -65.0 0.0 0.01008
5.0 -180.0 -64.0 0.0 0.01028
5.0 -180.0 -63.0 0.0 0.01038
5.0 -180.0 -62.0 0.0 0.01065
5.0 -180.0 -61.0 0.0 0.01089
5.0 -180.0 -60.0 0.0 0.0108
5.0 -180.0 -59.0 0.0 0.01092
5.0 -180.0 -58.0 0.0 0.01118
5.0 -180.0 -57.0 0.0 0.01129
5.0 -180.0 -56.0 0.0 0.01119
5.0 -180.0 -55.0 0.0 0.01112
5.0 -180.0 -54.0 0.0 0.01116
5.0 -180.0 -53.0 0.0 0.01134
5.0 -180.0 -52.0 0.0 0.01185
5.0 -180.0 -51.0 0.0 0.01151
5.0 -180.0 -50.0 0.0 0.01167
5.0 -180.0 -49.0 0.0 0.01199
5.0 -180.0 -48.0 0.0 0.01223
5.0 -180.0 -47.0 0.0 0.0123
5.0 -180.0 -46.0 0.0 0.01254
5.0 -180.0 -45.0 0.0 0.01274
5.0 -180.0 -44.0 0.0 0.01287
5.0 -180.0 -43.0 0.0 0.01314
5.0 -180.0 -42.0 0.0 0.01354
5.0 -180.0 -41.0 0.0 0.01347
5.0 -180.0 -40.0 0.0 0.01375
5.0 -180.0 -39.0 0.0 0.01398
5.0 -180.0 -38.0 0.0 0.01409
5.0 -180.0 -37.0 0.0 0.01402
5.0 -180.0 -36.0 0.0 0.01428
5.0 -180.0 -35.0 0.0 0.01487
5.0 -180.0 -34.0 0.0 0.01539
5.0 -180.0 -33.0 0.0 0.01555
5.0 -180.0 -32.0 0.0 0.01611
5.0 -180.0 -31.0 0.0 0.01633
5.0 -180.0 -30.0 0.0 0.01679
5.0 -180.0 -29.0 0.0 0.01684
5.0 -180.0 -28.0 0.0 0.01696
5.0 -180.0 -27.0 0.0 0.01717
5.0 -180.0 -26.0 0.0 0.01753
5.0 -180.0 -25.0 0.0 0.01822
5.0 -180.0 -24.0 0.0 0.01841
5.0 -180.0 -23.0 0.0 0.01862
5.0 -180.0 -22.0 0.0 0.01963
5.0 -180.0 -21.0 0.0 0.01955
5.0 -180.0 -20.0 0.0 0.01868
5.0 -180.0 -19.0 0.0 0.01978
5.0 -180.0 -18.0 0.0 0.02034
5.0 -180.0 -17.0 0.0 0.02023
5.0 -180.0 -16.0 0.0 0.02135
5.0 -180.0 -15.0 0.0 0.02142
5.0 -180.0 -14.0 0.0 0.02231
5.0 -180.0 -13.0 0.0 0.02304
5.0 -180.0 -12.0 0.0 0.02295
5.0 -180.0 3.0 0.0 0.02699
5.0 -180.0 4.0 0.0 0.02633
5.0 -180.0 5.0 0.0 0.02785
