phi_i theta_i phi_o theta_o brdf
5.0 -180.0 -90.0 0.0 0.000148
5.0 -180.0 -89.0 0.0 0.000128
5.0 -180.0 -88.0 0.0 0.000137
5.0 -180.0 -87.0 0.0 0.000134
5.0 -180.0 -86.0 0.0 0.000124
5.0 -180.0 -85.0 0.0 0.000124
5.0 -180.0 -84.0 0.0 0.00013
5.0 -180.0 -83.0 0.0 0.000113
5.0 -180.0 -82.0 0.0 0.000124
5.0 -180.0 -81.0 0.0 0.000135
5.0 -180.0 -80.0 0.0 0.000133
5.0 -180.0 -79.0 0.0 0.00013
5.0 -180.0 -78.0 0.0 0.000141
5.0 -180.0 -77.0 0.0 0.000141
5.0 -180.0 -76.0 0.0 0.000133
5.0 -180.0 -75.0 0.0 0.00014
5.0 -180.0 -74.0 0.0 0.00013
5.0 -180.0 -73.0 0.0 0.000125
5.0 -180.0 -72.0 0.0 0.000149
5.0 -180.0 -71.0 0.0 0.000149
5.0 -180.0 -70.0 0.0 0.000138
5.0 -180.0 -69.0 0.0 0.000123
5.0 -180.0 -68.0 0.0 0.000127
5.0 -180.0 -67.0 0.0 0.000144
5.0 -180.0 -66.0 0.0 0.000156
5.0 -180.0 -65.0 0.0 0.000165
5.0 -180.0 -64.0 0.0 0.000157
5.0 -180.0 -63.0 0.0 0.000127
5.0 -180.0 -62.0 0.0 0.000119
5.0 -180.0 -61.0 0.0 0.000125
5.0 -180.0 -60.0 0.0 0.000117
5.0 -180.0 -59.0 0.0 0.000126
5.0 -180.0 -58.0 0.0 0.000134
5.0 -180.0 -57.0 0.0 0.000136
5.0 -180.0 -56.0 0.0 0.000132
5.0 -180.0 -55.0 0.0 0.00014
5.0 -180.0 -54.0 0.0 0.000145
5.0 -180.0 -53.0 0.0 0.000174
5.0 -180.0 -52.0 0.0 0.000225
5.0 -180.0 -51.0 0.0 0.000237
5.0 -180.0 -50.0 0.0 0.000216
5.0 -180.0 -49.0 0.0 0.000237
5.0 -180.0 -48.0 0.0 0.000201
5.0 -180.0 -47.0 0.0 0.0002
5.0 -180.0 -46.0 0.0 0.000264
5.0 -180.0 -45.0 0.0 0.000256
5.0 -180.0 -44.0 0.0 0.000225
5.0 -180.0 -43.0 0.0 0.000261
5.0 -180.0 -42.0 0.0 0.000283
5.0 -180.0 -41.0 0.0 0.000266
5.0 -180.0 -40.0 0.0 0.000323
5.0 -180.0 -39.0 0.0 0.000442
5.0 -180.0 -38.0 0.0 0.000343
5.0 -180.0 -37.0 0.0 0.000389
5.0 -180.0 -36.0 0.0 0.000417
5.0 -180.0 -35.0 0.0 0.000446
5.0 -180.0 -34.0 0.0 0.000654
5.0 -180.0 -33.0 0.0 0.000415
5.0 -180.0 -32.0 0.0 0.000419
5.0 -180.0 -31.0 0.0 0.000391
5.0 -180.0 -30.0 0.0 0.000502
5.0 -180.0 -29.0 0.0 0.00053
5.0 -180.0 -28.0 0.0 0.000822
5.0 -180.0 -27.0 0.0 0.000658
5.0 -180.0 -26.0 0.0 0.000781
5.0 -180.0 -25.0 0.0 0.000787
5.0 -180.0 -24.0 0.0 0.000781
5.0 -180.0 -23.0 0.0 0.000987
5.0 -180.0 -22.0 0.0 0.00082
5.0 -180.0 -21.0 0.0 0.000988
5.0 -180.0 -20.0 0.0 0.00125
5.0 -180.0 -19.0 0.0 0.00104
5.0 -180.0 -18.0 0.0 0.00139
5.0 -180.0 -17.0 0.0 0.00125
5.0 -180.0 -16.0 0.0 0.00175
5.0 -180.0 -15.0 0.0 0.00175
5.0 -180.0 -14.0 0.0 0.00185
5.0 -180.0 -13.0 0.0 0.00222
5.0 -180.0 -12.0 0.0 0.00309
5.0 -180.0 -11.0 0.0 0.00408
5.0 -180.0 -10.0 0.0 0.00427
5.0 -180.0 -9.0 0.0 0.00616
5.0 -180.0 -8.0 0.0 0.0072
5.0 -180.0 -7.0 0.0 0.00661
5.0 -180.0 -6.0 0.0 0.00774
5.0 -180.0 -5.0 0.0 0.0117
5.0 -180.0 -4.0 0.0 0.012
5.0 -180.0 -3.0 0.0 0.02
5.0 -180.0 -2.0 0.0 0.0302
5.0 -180.0 -1.0 0.0 0.0535
5.0 -180.0 0.0 0.0 0.33
5.0 -180.0 1.0 0.0 1.07
5.0 -180.0 2.0 0.0 1.59
5.0 -180.0 3.0 0.0 2.46
5.0 -180.0 4.0 0.0 3.47
5.0 -180.0 5.0 0.0 4.92
5.0 -180.0 6.0 0.0 8.6
5.0 -180.0 7.0 0.0 1040.0
5.0 -180.0 8.0 0.0 40.9
5.0 -180.0 9.0 0.0 5.11
5.0 -180.0 10.0 0.0 2.02
5.0 -180.0 11.0 0.0 0.936
5.0 -180.0 12.0 0.0 0.308
5.0 -180.0 13.0 0.0 0.16
5.0 -180.0 14.0 0.0 0.145
5.0 -180.0 15.0 0.0 0.13
5.0 -180.0 16.0 0.0 0.0783
5.0 -180.0 17.0 0.0 0.0878
5.0 -180.0 18.0 0.0 0.0425
5.0 -180.0 19.0 0.0 0.0
5.0 -180.0 20.0 0.0 0.0
5.0 -180.0 21.0 0.0 0.0
5.0 -180.0 22.0 0.0 0.0
5.0 -180.0 23.0 0.0 0.0
5.0 -180.0 90.0 0.0 0.0
41.4 -180.0 -90.0 0.0 0.0
41.4 -180.0 -88.6 0.0 0.0
41.4 -180.0 -87.6 0.0 0.0
41.4 -180.0 -86.6 0.0 0.0
41.4 -180.0 -85.6 0.0 0.0
41.4 -180.0 -84.6 0.0 0.0
41.4 -180.0 -83.6 0.0 0.0
41.4 -180.0 -82.6 0.0 0.0
41.4 -180.0 -81.6 0.0 0.000221
41.4 -180.0 -80.6 0.0 0.00019
41.4 -180.0 -79.6 0.0 0.000177
41.4 -180.0 -78.6 0.0 0.000185
41.4 -180.0 -77.6 0.0 0.000174
41.4 -180.0 -76.6 0.0 0.000164
41.4 -180.0 -75.6 0.0 0.00019
41.4 -180.0 -74.6 0.0 0.000186
41.4 -180.0 -73.6 0.0 0.000177
41.4 -180.0 -72.6 0.0 0.000155
41.4 -180.0 -71.6 0.0 0.000146
41.4 -180.0 -70.6 0.0 0.00014
41.4 -180.0 -69.6 0.0 0.000142
41.4 -180.0 -68.6 0.0 0.000146
41.4 -180.0 -67.6 0.0 0.000142
41.4 -180.0 -66.6 0.0 0.00015
41.4 -180.0 -65.6 0.0 0.000137
41.4 -180.0 -64.6 0.0 0.000152
41.4 -180.0 -63.6 0.0 0.000139
41.4 -180.0 -62.6 0.0 0.000149
41.4 -180.0 -61.6 0.0 0.000148
41.4 -180.0 -60.6 0.0 0.000147
41.4 -180.0 -59.6 0.0 0.000147
41.4 -180.0 -58.6 0.0 0.00014
41.4 -180.0 -57.6 0.0 0.00014
41.4 -180.0 -56.6 0.0 0.000142
41.4 -180.0 -55.6 0.0 0.000126
41.4 -180.0 -54.6 0.0 0.000123
41.4 -180.0 -53.6 0.0 0.000148
41.4 -180.0 -52.6 0.0 0.000128
41.4 -180.0 -51.6 0.0 0.000137
41.4 -180.0 -50.6 0.0 0.000134
41.4 -180.0 -49.6 0.0 0.000124
41.4 -180.0 -48.6 0.0 0.000124
41.4 -180.0 -47.6 0.0 0.00013
41.4 -180.0 -46.6 0.0 0.000113
41.4 -180.0 -45.6 0.0 0.000124
41.4 -180.0 -44.6 0.0 0.000135
41.4 -180.0 -43.6 0.0 0.000133
41.4 -180.0 -42.6 0.0 0.00013
41.4 -180.0 -41.6 0.0 0.000141
41.4 -180.0 -40.6 0.0 0.000141
41.4 -180.0 -39.6 0.0 0.000133
41.4 -180.0 -38.6 0.0 0.00014
41.4 -180.0 -37.6 0.0 0.00013
41.4 -180.0 -36.6 0.0 0.000125
41.4 -180.0 -35.6 0.0 0.000149
41.4 -180.0 -34.6 0.0 0.000149
41.4 -180.0 -33.6 0.0 0.000138
41.4 -180.0 -32.6 0.0 0.000123
41.4 -180.0 -31.6 0.0 0.000127
41.4 -180.0 -30.6 0.0 0.000144
41.4 -180.0 -29.6 0.0 0.000156
41.4 -180.0 -28.6 0.0 0.000165
41.4 -180.0 -27.6 0.0 0.000157
41.4 -180.0 -26.6 0.0 0.000127
41.4 -180.0 -25.6 0.0 0.000119
41.4 -180.0 -24.6 0.0 0.000125
41.4 -180.0 -23.6 0.0 0.000117
41.4 -180.0 -22.6 0.0 0.000126
41.4 -180.0 -21.6 0.0 0.000134
41.4 -180.0 -20.6 0.0 0.000136
41.4 -180.0 -19.6 0.0 0.000132
41.4 -180.0 -18.6 0.0 0.00014
41.4 -180.0 -17.6 0.0 0.000145
41.4 -180.0 -16.6 0.0 0.000174
41.4 -180.0 -15.6 0.0 0.000225
41.4 -180.0 -14.6 0.0 0.000237
41.4 -180.0 -13.6 0.0 0.000216
41.4 -180.0 -12.6 0.0 0.000237
41.4 -180.0 -11.6 0.0 0.000201
41.4 -180.0 -10.6 0.0 0.0002
41.4 -180.0 -9.6 0.0 0.000264
41.4 -180.0 -8.6 0.0 0.000256
41.4 -180.0 -7.6 0.0 0.000225
41.4 -180.0 -6.6 0.0 0.000261
41.4 -180.0 -5.6 0.0 0.000283
41.4 -180.0 -4.6 0.0 0.000266
41.4 -180.0 -3.6 0.0 0.000323
41.4 -180.0 -2.6 0.0 0.000442
41.4 -180.0 -1.6 0.0 0.000343
41.4 -180.0 -0.6 0.0 0.000389
41.4 -180.0 0.4 0.0 0.000417
41.4 -180.0 1.4 0.0 0.000446
41.4 -180.0 2.4 0.0 0.000654
41.4 -180.0 3.4 0.0 0.000415
41.4 -180.0 4.4 0.0 0.000419
41.4 -180.0 5.4 0.0 0.000391
41.4 -180.0 6.4 0.0 0.000502
41.4 -180.0 7.4 0.0 0.00053
41.4 -180.0 8.4 0.0 0.000822
41.4 -180.0 9.4 0.0 0.000658
41.4 -180.0 10.4 0.0 0.000781
41.4 -180.0 11.4 0.0 0.000787
41.4 -180.0 12.4 0.0 0.000781
41.4 -180.0 13.4 0.0 0.000987
41.4 -180.0 14.4 0.0 0.00082
41.4 -180.0 15.4 0.0 0.000988
41.4 -180.0 16.4 0.0 0.00125
41.4 -180.0 17.4 0.0 0.00104
41.4 -180.0 18.4 0.0 0.00139
41.4 -180.0 19.4 0.0 0.00125
41.4 -180.0 20.4 0.0 0.00175
41.4 -180.0 21.4 0.0 0.00175
41.4 -180.0 22.4 0.0 0.00185
41.4 -180.0 23.4 0.0 0.00222
41.4 -180.0 24.4 0.0 0.00309
41.4 -180.0 25.4 0.0 0.00408
41.4 -180.0 26.4 0.0 0.00427
41.4 -180.0 27.4 0.0 0.00616
41.4 -180.0 28.4 0.0 0.0072
41.4 -180.0 29.4 0.0 0.00661
41.4 -180.0 30.4 0.0 0.00774
41.4 -180.0 31.4 0.0 0.0117
41.4 -180.0 32.4 0.0 0.012
41.4 -180.0 33.4 0.0 0.02
41.4 -180.0 34.4 0.0 0.0302
41.4 -180.0 35.4 0.0 0.0535
41.4 -180.0 36.4 0.0 0.33
41.4 -180.0 37.4 0.0 1.07
41.4 -180.0 38.4 0.0 1.59
41.4 -180.0 39.4 0.0 2.46
41.4 -180.0 40.4 0.0 3.47
41.4 -180.0 41.4 0.0 4.92
