satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,illuminated,international_designator,generation,optimal_theta_x,optimal_theta_y,optimal_theta_z,optimization_error,calculated_magnitude,magnitude_difference
STARLINK-30069,56834,2023-07-25T23:41:51.000Z,0.3,5.92,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,351.8893871,0.823191,703.585274,-0.2486433,0.1501888,0.5738531,50.5297678,46.0094587,162.7679079,True,2023-079M,v2 mini,3.051642629935018,-0.003838088849378045,1.859269117888156,2.11583427603321e-16,5.9200000145459075,1.4545907589536e-08
STARLINK-30069,56834,2023-07-25T23:41:56.000Z,0.3,5.89,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,354.7637442,1.5682243,703.205624,0.0968785,0.147627,0.575152,53.4365109,46.0493816,158.5209901,True,2023-079M,v2 mini,3.0413308013532627,-0.005161583225335124,1.8725869330846006,2.524437557333636e-14,5.890000158884787,1.5888478710479603e-07
STARLINK-30069,56834,2023-07-25T23:42:01.000Z,0.3,6.03,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,357.6390583,2.2977742,704.552875,0.4416861,0.1440051,0.5738323,56.3418541,45.9214059,154.286707,True,2023-079M,v2 mini,0.1474396493988385,-0.0006217319654853848,0.11174642940108584,2.2059546601151652e-15,6.029999953032409,4.696759159372732e-08
STARLINK-30069,56834,2023-07-25T23:42:05.000Z,0.3,6.21,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,359.9315038,2.8667957,706.867788,0.7153198,0.1403914,-179.2038152,58.6555896,45.7005712,150.9392167,True,2023-079M,v2 mini,1.14301625821503,0.0,1.0724041240205566,0.4485389611827324,6.879730513850707,0.6697305138507073
STARLINK-30069,56834,2023-07-25T23:42:11.000Z,0.3,6.28,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,3.3424406,3.6903139,712.376096,1.1191966,0.1339013,0.563573,62.0923459,45.1818662,146.03519,True,2023-079M,v2 mini,0.3789625539765944,0.0,0.36769797992149666,0.4716651694104167,6.966778835878347,0.6867788358783464
STARLINK-30069,56834,2023-07-25T23:42:16.000Z,0.3,6.43,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,6.1465919,4.3445158,718.79607,1.4472942,0.1276548,0.5549212,64.9112784,44.591299,142.0959674,True,2023-079M,v2 mini,0.0727842159477861,-0.0040846220251459005,0.07512510167149533,6.372876424680896e-13,6.429999201697023,7.983029766123195e-07
STARLINK-30069,56834,2023-07-25T23:42:20.000Z,0.3,6.62,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,8.3570239,4.8443852,725.098517,1.7028085,0.1222147,0.5465028,67.1285851,44.0261526,139.0622769,True,2023-079M,v2 mini,1.1111225189751959,0.0,1.1111225189751959,0.25656485766673415,7.126522317047072,0.5065223170470716
STARLINK-30069,56834,2023-07-25T23:42:26.000Z,0.3,6.75,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,11.6063216,5.5518376,736.433153,2.0724976,0.1135033,0.5316965,70.3794039,43.0445841,134.7329791,True,2023-079M,v2 mini,0.03050261665630383,-8.735665202407928e-05,0.030553049562595934,1.0854555903781467e-14,6.7500001041852,1.04185200022755e-07
STARLINK-30069,56834,2023-07-25T23:42:31.000Z,0.3,6.89,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,14.2440331,6.1004715,747.536685,2.3666673,0.1059092,0.5176767,73.0101239,42.1237573,131.3425732,True,2023-079M,v2 mini,0.006683481136653438,1.5587446162794086e-05,0.005804506949912209,1.45413238505131e-15,6.889999961866912,3.8133087798541965e-08
STARLINK-30069,56834,2023-07-25T23:42:35.000Z,0.3,7.01,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,16.3032662,6.5117546,757.457369,2.5921802,0.0997214,0.5055735,75.0583903,41.3327134,128.7772496,True,2023-079M,v2 mini,-0.012658767553061081,6.988268811379144e-05,-0.012695353490198628,3.815223990866989e-13,7.009999382325005,6.17674994707329e-07
STARLINK-30069,56834,2023-07-25T23:42:41.000Z,0.3,7.08,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,19.3005889,7.0821334,773.984361,2.9132952,0.0904123,0.4862905,78.030613,40.0760145,125.1747115,True,2023-079M,v2 mini,0.0,0.0,0.0,0.2691908237519973,7.598836027808399,0.5188360278083985
STARLINK-30069,56834,2023-07-25T23:42:44.000Z,0.3,7.16,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,20.7560213,7.3464381,782.954559,3.0659513,0.0858005,0.4762722,79.4697893,39.4235547,123.4821713,True,2023-079M,v2 mini,0.0,0.0,0.0,0.2671001254468423,7.676817303741702,0.5168173037417017
STARLINK-30076,56839,2023-07-25T23:46:01.000Z,0.3,5.77,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,352.5828244,4.3884013,671.150202,-0.0866877,0.1476994,0.6040756,52.7951411,49.5656193,162.1189056,True,2023-079S,v2 mini,3.0208975721788143,-0.003800447208096419,1.869595027517021,1.527276989434085e-15,5.769999960919608,3.908039136746311e-08
STARLINK-30076,56839,2023-07-25T23:46:06.000Z,0.3,5.85,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,355.6158683,5.1151155,671.62145,0.2750577,0.142776,0.604401,55.8006097,49.514985,157.3592589,True,2023-079S,v2 mini,1.4561510309601673,0.0,1.0519264735619676,0.48172414784614953,6.544063504188305,0.6940635041883052
STARLINK-30076,56839,2023-07-25T23:46:11.000Z,0.3,6.06,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,358.646237,5.8144103,673.897074,0.6345815,0.136756,0.6016828,58.7989111,49.2605829,152.6486718,True,2023-079S,v2 mini,1.1678493958972422,0.0,1.091629672033549,0.297458016707632,6.605397118352886,0.5453971183528861
STARLINK-30076,56839,2023-07-25T23:46:15.000Z,0.3,6.11,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,1.0586655,6.3506295,677.004976,0.9186975,0.1312439,0.5973733,61.1815258,48.9161204,148.9569858,True,2023-079S,v2 mini,1.1690770861731574,0.0,1.1465819537264395,0.30766039722067934,6.664671431769007,0.5546714317690062
STARLINK-30076,56839,2023-07-25T23:46:21.000Z,0.3,6.17,0.1,43.65,41.431,2030.0,10.0,MMT9,CMOS,CLEAR,0009-0000-3667-6967,,,,,,,,,,Data from MMT9 with permission; mag is 5 s avg; Clear is equivalent to V; NORAD ID from C. Bassa,,,4.6402637,7.1109701,683.774911,1.3358492,0.1220218,0.5875575,64.7103245,48.182271,143.6117431,True,2023-079S,v2 mini,0.3828477127412651,0.0,0.3641585816206582,0.3564983445090963,6.767074823208194,0.5970748232081942
