satellite_name,norad_cat_id,observation_time_utc,observation_time_uncertainty_sec,apparent_magnitude,apparent_magnitude_uncertainty,observer_latitude_deg,observer_longitude_deg,observer_altitude_m,limiting_magnitude,instrument,observing_mode,observing_filter,observer_orcid,satellite_right_ascension_deg,satellite_declination_deg,sigma_2_ra,sigma_ra_sigma_dec,sigma_2_dec,range_to_satellite_km,range_to_satellite_uncertainty_km,range_rate_of_satellite_km_per_sec,range_rate_of_satellite_uncertainty_km_per_sec,comments,data_archive_link,mpc_code,sat_ra_deg_satchecker,sat_dec_deg_satchecker,range_to_sat_km_satchecker,range_rate_sat_km_s_satchecker,ddec_deg_s_satchecker,dra_cosdec_deg_s_satchecker,phase_angle_deg_satchecker,alt_deg_satchecker,az_deg_satchecker,illuminated,international_designator,generation
STARLINK-31370,59520,2024-04-29T10:28:45.000Z,0.3,2.4,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,296.5581295,2.6405555,409.027802,0.0148543,0.4170983,0.9468898,80.7073832,52.7489844,149.7231078,True,2024-073K,v2 mini
STARLINK-31509,59533,2024-04-29T10:30:27.000Z,0.3,2.3,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.8945586,4.3599009,400.276185,-0.1157349,0.4257941,0.967305,79.5644954,55.1509146,151.8331322,True,2024-073Y,v2 mini
STARLINK-31392,59530,2024-04-29T10:31:33.000Z,0.3,2.3,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.7723164,5.8083782,393.873911,-0.0776075,0.4312476,0.9836635,79.8420961,56.64133,151.4965708,True,2024-073V,v2 mini
STARLINK-31619,59531,2024-04-29T10:32:08.000Z,0.3,2.2,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,294.4095225,6.4455751,390.326351,-0.0975259,0.4351065,0.992599,79.6713764,57.4241043,151.9067947,True,2024-073W,v2 mini
STARLINK-31513,59529,2024-04-29T10:32:47.000Z,0.3,2.1,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,293.9170374,7.1756808,386.956095,-0.1279366,0.4392104,1.0009348,79.4058192,58.3460965,152.5222081,True,2024-073U,v2 mini
STARLINK-31618,59528,2024-04-29T10:33:21.000Z,0.3,2.1,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,293.2648633,7.712848,383.877038,-0.1844516,0.443757,1.0082882,78.9375816,59.1352979,153.5532859,True,2024-073T,v2 mini
STARLINK-30822,58193,2023-12-19T00:03:29.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,55.3808369,77.0312888,760.581732,-0.0061421,-0.5217504,0.1600631,55.6778966,40.8370171,15.3618877,True,2023-167U,v2 mini
STARLINK-30785,58191,2023-12-19T00:06:55.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,51.2706039,76.760171,745.859785,-0.069817,-0.5179665,0.203728,56.0220017,41.9890819,15.2055482,True,2023-167S,v2 mini
STARLINK-30807,58192,2023-12-19T00:10:22.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,48.1251882,75.8205733,730.936573,-0.062223,-0.5149524,0.2397819,55.8067361,43.2354158,15.8598627,True,2023-167T,v2 mini
STARLINK-30820,58190,2023-12-19T00:13:50.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,45.4719432,74.5967669,715.833252,-0.0299673,-0.5122818,0.2722107,55.4180779,44.5879633,16.8181095,True,2023-167R,v2 mini
STARLINK-30826,58188,2023-12-19T00:17:18.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,42.6760836,73.4641844,700.338554,-0.0200598,-0.507821,0.3063229,55.2428709,46.0232046,17.5121593,True,2023-167P,v2 mini
STARLINK-30796,58189,2023-12-19T00:20:44.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,39.1738624,72.6011777,684.956021,-0.0613976,-0.4978354,0.3463309,55.5263005,47.5600515,17.5512319,True,2023-167Q,v2 mini
STARLINK-30755,58186,2023-12-19T00:27:38.000Z,0.3,7.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,33.8981648,69.8703904,654.427395,-0.0561173,-0.4822731,0.4129586,55.5271432,51.0142288,18.7108712,True,2023-167M,v2 mini
STARLINK-30801,58184,2023-12-19T00:34:32.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,29.1818371,66.5919499,624.614201,-0.0462987,-0.4652327,0.4757553,55.7411249,55.0007469,19.9255813,True,2023-167K,v2 mini
STARLINK-30809,58183,2023-12-19T00:37:59.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,27.3169474,64.6168832,610.219595,-0.0194583,-0.4588054,0.5035714,55.7983341,57.2123848,20.8725442,True,2023-167J,v2 mini
STARLINK-30798,58196,2023-12-19T00:41:25.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,23.7158884,63.1697623,596.418015,-0.1170162,-0.4373152,0.542757,56.9242417,59.5794585,19.7630836,True,2023-167X,v2 mini
STARLINK-30806,58180,2023-12-19T00:44:53.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,22.8346293,60.5903934,583.163189,-0.0364952,-0.4370429,0.5634289,56.7716361,62.1301313,21.6327726,True,2023-167F,v2 mini
STARLINK-30819,58179,2023-12-19T00:51:46.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,18.7011135,55.9206455,559.228907,-0.0626711,-0.414299,0.6177686,58.2843513,67.718001,22.0113919,True,2023-167E,v2 mini
STARLINK-31217,59036,2024-07-24T02:49:55.000Z,0.5,6.0,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,268.3663163,-1.7973683,586.907074,3.9590662,-0.2943242,0.5239827,38.8797904,47.7909439,149.6291581,True,2024-038P,v2 mini
STARLINK-30819,58179,2023-12-19T00:44:53.000Z,0.3,6.5,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,254.3962617,19.2664984,2907.183019,-6.6581332,0.0449811,0.0373653,135.8173104,-2.337206,295.9691129,True,2023-167E,v2 mini
STARLINK-11160 [DTC],60125,2024-08-01T02:23:19.000Z,0.2,3.3,0.2,36.128,-95.988,201.0,8.0,B,VISUAL,CLEAR,0000-0001-6268-7790,,,,,,,,,,,,,299.0157517,-16.5641268,864.108664,-0.0672122,0.3215617,0.376423,11.9428457,19.7087225,129.4196141,True,2024-118N,v2 mini
